id,bairro,lat_centroid,lon_centroid,vulnerabilidade,has_precip_data,source
1,CURADO,-8.075426014149992,-34.96984715471225,,False,geojson-sync
2,DOIS UNIDOS,-7.999560642517555,-34.910122152541504,,False,geojson-sync
3,AFLITOS,-8.040298094612044,-34.896065201600884,,False,geojson-sync
4,SANCHO,-8.084908948725513,-34.96259385140532,,False,geojson-sync
5,VARZEA,-8.054895535559195,-34.99464047044862,,False,geojson-sync
6,COELHOS,-8.067022819474634,-34.8909712287714,,False,geojson-sync
7,PEIXINHOS,-8.018749309999405,-34.8789931052067,,False,geojson-sync
8,SAO JOSE,-8.072435837698695,-34.88743778267435,,False,geojson-sync
9,SANTO ANTONIO,-8.06384129224071,-34.87919511182327,,False,geojson-sync
10,RECIFE,-8.058265640436645,-34.87102338473654,,False,geojson-sync
11,HIPODROMO,-8.03090604199016,-34.88806112575541,,False,geojson-sync
12,ROSARINHO,-8.031468043329825,-34.89669135356068,,False,geojson-sync
13,CAMPINA DO BARRETO,-8.016487430773799,-34.88086410630735,,False,geojson-sync
14,CASA FORTE,-8.034592918764442,-34.918362318397214,,False,geojson-sync
15,PARNAMIRIM,-8.034308724517794,-34.91075773430296,,False,geojson-sync
16,GUABIRABA,-7.947869299794821,-34.973234418295405,,False,geojson-sync
17,ILHA JOANA BEZERRA,-8.069756915281054,-34.89895520361126,,False,geojson-sync
18,CABANGA,-8.080467610003318,-34.894651693416925,,False,geojson-sync
19,ILHA DO LEITE,-8.064719262482798,-34.893409611165566,,False,geojson-sync
20,PAU FERRO,-7.964806839174587,-34.973894648639856,,False,geojson-sync
21,MANGUEIRA,-8.075724197205533,-34.92124683656855,,False,geojson-sync
22,SANTO AMARO,-8.049756295920668,-34.8824080088922,,False,geojson-sync
23,BOA VISTA,-8.05854207658151,-34.89114581960895,,False,geojson-sync
24,ESPINHEIRO,-8.043972420986101,-34.89149764518774,,False,geojson-sync
25,DERBY,-8.057096805339858,-34.899657705505874,,False,geojson-sync
26,SANTANA,-8.039582482111006,-34.915081038710795,,False,geojson-sync
27,PAISSANDU,-8.063690156605,-34.89824657476786,,False,geojson-sync
28,TOTO,-8.082426276673608,-34.97001286096275,,False,geojson-sync
29,GRACAS,-8.045057359238386,-34.8996457291309,,False,geojson-sync
30,TORRE,-8.043855580122846,-34.910840278275984,,False,geojson-sync
31,ARRUDA,-8.024211916986776,-34.88841809846445,,False,geojson-sync
32,ENGENHO DO MEIO,-8.057528086999232,-34.942864428147026,,False,geojson-sync
33,CAJUEIRO,-8.010588509596444,-34.88467608129411,,False,geojson-sync
34,ZUMBI,-8.051955195570418,-34.91699650887097,,False,geojson-sync
35,TAMARINEIRA,-8.030831906147332,-34.90262673247289,,False,geojson-sync
36,BONGI,-8.065150732572302,-34.917723122895865,,False,geojson-sync
37,CIDADE UNIVERSITARIA,-8.055186758711825,-34.95219067813032,,False,geojson-sync
38,TORREAO,-8.04014437204375,-34.88253229198805,,False,geojson-sync
39,JAQUEIRA,-8.037684033074099,-34.90563507962259,,False,geojson-sync
40,CACOTE,-8.102633482068812,-34.93063515640134,,False,geojson-sync
41,IPSEP,-8.106250209621889,-34.92089580102215,,False,geojson-sync
42,PORTO DA MADEIRA,-8.006510000757832,-34.889649586286964,,False,geojson-sync
44,JORDAO,-8.135953503447029,-34.93544929376699,,False,geojson-sync
45,PRADO,-8.060599524662129,-34.9162725069678,,False,geojson-sync
46,DOIS IRMAOS,-8.006643103808987,-34.95143306208976,,False,geojson-sync
47,MADALENA,-8.055655804632478,-34.90789446143864,,False,geojson-sync
48,SOLEDADE,-8.05723090610779,-34.89027215618186,,False,geojson-sync
49,TORROES,-8.060776849304904,-34.936718835438775,,False,geojson-sync
50,IPUTINGA,-8.034682653690771,-34.93696650750418,,False,geojson-sync
51,SAN MARTIN,-8.069712088850295,-34.92920424365324,,False,geojson-sync
52,PASSARINHO,-7.988720077219555,-34.92427440445572,,False,geojson-sync
53,JARDIM SAO PAULO,-8.079837925469713,-34.944539219142975,,False,geojson-sync
54,AREIAS,-8.09737875927595,-34.93309092368998,,False,geojson-sync
55,TEJIPIO,-8.092293100053343,-34.95876194901035,,False,geojson-sync
56,CORDEIRO,-8.050750747444566,-34.9289319620018,,False,geojson-sync
57,BARRO,-8.101267945014456,-34.95434495815892,,False,geojson-sync
58,ESTANCIA,-8.08216110397685,-34.93035860414221,,False,geojson-sync
59,FUNDAO,-8.01402978103821,-34.8910861116546,,False,geojson-sync
60,COQUEIRAL,-8.088556863044293,-34.968911864437715,,False,geojson-sync
61,POCO,-8.0348567773933,-34.9226996815426,,False,geojson-sync
62,CAXANGA,-8.021763518817353,-34.95909986512486,,False,geojson-sync
63,SITIO DOS PINTOS,-8.017652376772865,-34.95850186511998,,False,geojson-sync
64,BEBERIBE,-8.003891043794148,-34.896733774673415,,False,geojson-sync
65,BOMBA DO HEMETERIO,-8.019770237054155,-34.90320921878792,,False,geojson-sync
66,MANGABEIRA,-8.023517499122482,-34.90390052302705,,False,geojson-sync
67,CASA AMARELA,-8.02500465239953,-34.91974027167723,,False,geojson-sync
68,LINHA DO TIRO,-8.008328020845461,-34.90628620744209,,False,geojson-sync
69,ENCRUZILHADA,-8.035341106529689,-34.891322924654894,,False,geojson-sync
70,BRASILIA TEIMOSA,-8.083046276551972,-34.87998381626354,,False,geojson-sync
71,PINA,-8.098774408713073,-34.893496685139986,,False,geojson-sync
72,BREJO DA GUABIRABA,-7.991502442028078,-34.93234291358273,,False,geojson-sync
73,ILHA DO RETIRO,-8.064747120168958,-34.9047381692948,,False,geojson-sync
74,MUSTARDINHA,-8.071051926362426,-34.918601707524,,False,geojson-sync
75,IBURA,-8.117106146873757,-34.93547043316537,,False,geojson-sync
76,ALTO JOSE BONIFACIO,-8.013095438456604,-34.912937421856626,,False,geojson-sync
77,ALTO DO MANDU,-8.021828765350628,-34.92851506896568,,False,geojson-sync
78,MORRO DA CONCEICAO,-8.019597375389676,-34.91477120620879,,False,geojson-sync
79,ALTO JOSE DO PINHO,-8.021989598704446,-34.90686561744218,,False,geojson-sync
80,VASCO DA GAMA,-8.011905610287862,-34.919586689433594,,False,geojson-sync
81,BOA VIAGEM,-8.126444606802163,-34.90575284731792,,False,geojson-sync
82,ALTO SANTA TEREZINHA,-8.015519031595408,-34.90779180973282,,False,geojson-sync
83,MACAXEIRA,-8.011565039197134,-34.930113195439795,,False,geojson-sync
84,BREJO DE BEBERIBE,-7.997535217017856,-34.92271084591626,,False,geojson-sync
85,NOVA DESCOBERTA,-8.006551460261822,-34.927283796401284,,False,geojson-sync
86,MONTEIRO,-8.025526311342555,-34.92833198146631,,False,geojson-sync
87,CAMPO GRANDE,-8.029858692460369,-34.88247876541509,,False,geojson-sync
88,AGUA FRIA,-8.016281643289327,-34.89730115784369,,False,geojson-sync
89,IMBIRIBEIRA,-8.109633667153123,-34.913483738979025,,False,geojson-sync
90,JIQUIA,-8.082501379736497,-34.92575180382967,,False,geojson-sync
91,AFOGADOS,-8.078012011046363,-34.91415977563358,,False,geojson-sync
