timestamp,action,bairro,note
2025-11-04T19:33:20.956843,estimated_vulnerability,COELHOS,used_estimated_vuln=0.0
2025-11-04T19:33:20.959854,prediction,COELHOS,"{""timestamp"": ""2025-11-04T19:33:20.956843"", ""bairro"": ""COELHOS"", ""chuva_mm_used"": 18.420246575342468, ""chuva_mm_estimated"": false, ""vulnerabilidade_used"": 0.0, ""vulnerabilidade_estimated"": true, ""mare_m_used"": 0.8, ""predicted_occurrences"": 0.598275155679094, ""predicted_risk_probability"": 1.653543411213299e-05}"
2025-11-04T19:33:41.375005,add_bairro,CURADO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,DOIS UNIDOS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,AFLITOS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,SANCHO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,VARZEA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,COELHOS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,PEIXINHOS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,SAO JOSE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,SANTO ANTONIO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,RECIFE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,HIPODROMO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ROSARINHO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CAMPINA DO BARRETO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CASA FORTE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,PARNAMIRIM,added from geojson
2025-11-04T19:33:41.375005,add_bairro,GUABIRABA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ILHA JOANA BEZERRA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CABANGA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ILHA DO LEITE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,PAU FERRO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,MANGUEIRA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,SANTO AMARO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,BOA VISTA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ESPINHEIRO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,DERBY,added from geojson
2025-11-04T19:33:41.375005,add_bairro,SANTANA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,PAISSANDU,added from geojson
2025-11-04T19:33:41.375005,add_bairro,TOTO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,GRACAS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,TORRE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ARRUDA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ENGENHO DO MEIO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CAJUEIRO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ZUMBI,added from geojson
2025-11-04T19:33:41.375005,add_bairro,TAMARINEIRA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,BONGI,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CIDADE UNIVERSITARIA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,TORREAO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,JAQUEIRA,added from geojson
