Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
198,Abreu e Lima,jan./2024,"6,8","0,1",0,0,0,0,0,0,0,0,19,"3,3","15,5",62,0,"0,3",0,0,0,"8,4",0,0,0,0,"1,8","0,2",0,0,"3,1",0,0,"1873,8"
309,Araçoiaba (Granja Cristo Redentor),jan./2024,0,0,0,0,0,0,0,0,0,0,"44,1","17,5",27,"7,2",0,0,0,0,0,0,0,0,0,0,0,0,"47,3",0,0,0,0,"1208,9"
301,Cabo,jan./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
490,Cabo (Barragem de Gurjaú),jan./2024,0,"4,1",0,"0,3",0,0,0,0,"0,6",0,0,"0,1","4,2","34,8",0,"0,7",0,"0,1","1,2",0,0,0,0,0,0,"76,7","4,9","0,2","6,9",0,0,"1813,5"
491,Cabo (Barragem de Suape),jan./2024,"1,1",0,0,0,0,0,0,0,"1,5",0,10,1,30,"17,4",0,1,"0,7",0,0,0,0,0,0,0,0,75,"7,5",0,0,0,0,"1764,8"
603,Cabo (Pirapama),jan./2024,0,11,0,"0,5",0,0,0,0,3,"2,9",24,"0,7","0,3","37,4",0,"0,5",0,0,0,0,0,0,0,0,0,91,"9,2","2,1",0,0,0,"1927,2"
201,Camaragibe,jan./2024,"18,9","13,2",0,0,0,0,0,0,"1,2","3,1","50,1","2,2","7,4","25,5",1,0,0,0,2,0,0,0,0,0,0,"6,5","3,5","1,5",0,0,0,"1620,3"
28,Goiana (Itapirema - IPA),jan./2024,"0,2","6,5","0,2",0,0,0,0,0,0,"4,8","70,4",4,0,0,0,0,0,0,"0,2",0,0,0,0,0,"0,2","26,4",0,0,0,0,0,"1275,3"
487,Goiana - PCD,jan./2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"221,4"
100,Igarassu,jan./2024,0,"35,8","5,4","2,8",0,0,0,0,0,0,"5,9","1,8","17,5","62,1","0,3","2,1",0,0,0,0,0,0,0,0,"5,3","6,6",0,0,"8,7",0,0,1579
269,Igarassu (Bar.Catucá),jan./2024,0,0,0,0,0,0,0,0,0,0,"46,1",11,53,"79,9",0,"0,5",0,-,1,0,0,0,0,0,0,"9,5",0,0,0,0,0,"1254,1"
294,Igarassu (Usina São José),jan./2024,0,0,0,0,0,0,0,0,0,0,"44,9","9,4",40,75,"3,9",0,0,0,0,"4,7",0,0,0,0,0,"2,8","3,8",0,1,0,0,"1389,1"
387,Ipojuca,jan./2024,"0,3",0,0,"0,3",0,0,0,0,0,0,"14,4",0,"13,1","17,9",0,"0,7","1,1",0,0,"3,2",0,0,0,0,0,"95,5",0,0,0,0,0,"1859,6"
602,Ipojuca (Suape) - PCD,jan./2024,"1,6","0,4","4,4",0,0,0,0,0,3,0,"5,4",0,"55,4","2,4",0,"3,2","0,4","0,6",0,0,0,0,0,"0,4","1,8","20,6",0,0,0,0,0,"467,8"
524,Itamaracá,jan./2024,"12,2","24,1","17,2",0,0,0,0,0,"1,6","4,1",71,"2,5",19,25,0,0,0,0,"1,4",0,0,0,0,0,0,"4,8","2,7","0,6",0,0,0,"1558,8"
520,Itapissuma,jan./2024,"9,7","15,2","11,4",0,0,0,0,0,"9,2",0,47,2,"21,4","23,5",0,0,0,0,1,0,0,0,0,0,0,"5,5","3,4","0,5",0,0,0,"1723,9"
604,Jaboatão (Cidade da Copa) - PCD,jan./2024,"0,2",3,"0,6","0,8",0,0,0,0,"3,4","1,8",25,"1,2",25,"17,4","0,2","3,4",0,"0,4","1,4","0,4",0,0,0,0,"0,2","74,2","0,4",0,"8,8",0,0,"2019,2"
