date,bairro,mare_m,chuva_mm,lat,lon,altitude,vulnerabilidade,densidade_pop,tipo_bairro,ocorrencias
2024-01-01,Afogados,1.225,0.0,-8.052887,-34.919363,4,0.78,16700,ribeirinho,1
2024-01-01,Apipucos,1.225,0.0,-8.029955,-34.943306,50,0.28,4800,altitude,0
2024-01-01,Boa Viagem,1.225,0.35,-8.12309,-34.897446,5,0.45,9800,litoraneo,1
2024-01-01,Brasília Teimosa,1.225,10.95,-8.088852,-34.879488,2,0.82,18500,litoraneo,1
2024-01-01,Casa Forte,1.225,3.33,-8.018738,-34.925033,45,0.25,5400,altitude,0
2024-01-01,Coelhos,1.225,0.2,-8.06378,-34.872091,3,0.72,14300,ribeirinho,3
2024-01-01,Cordeiro,1.225,18.9,-8.051402,-34.937471,25,0.48,8700,urbano_medio,0
2024-01-01,Ibura,1.225,0.0,-8.119112,-34.944975,12,0.75,17500,urbano_denso,0
2024-01-01,Ilha Joana Bezerra,1.225,0.0,-8.063911,-34.897804,2,0.85,19200,ribeirinho,3
2024-01-01,Madalena,1.225,17.5,-8.053776,-34.9153,10,0.52,9800,urbano_medio,2
2024-01-01,Pina,1.225,0.0,-8.085396,-34.882642,3,0.68,12200,litoraneo,1
2024-01-01,Santo Amaro,1.225,15.0,-8.04734,-34.884399,8,0.65,13800,urbano_denso,0
2024-01-01,São José,1.225,0.0,-8.056582,-34.88215,6,0.62,12900,urbano_denso,1
2024-01-01,Torre,1.225,15.6,-8.0452,-34.902409,15,0.42,7600,urbano_medio,1
2024-01-01,Várzea,1.225,0.0,-8.042212,-34.953644,55,0.35,6200,altitude,0
2024-01-02,Afogados,1.225,11.93,-8.05309,-34.918772,4,0.78,16700,ribeirinho,1
2024-01-02,Apipucos,1.225,30.7,-8.030642,-34.942589,50,0.28,4800,altitude,0
2024-01-02,Boa Viagem,1.225,0.0,-8.122506,-34.897683,5,0.45,9800,litoraneo,1
2024-01-02,Brasília Teimosa,1.225,19.65,-8.089169,-34.879594,2,0.82,18500,litoraneo,2
2024-01-02,Casa Forte,1.225,0.57,-8.019166,-34.924339,45,0.25,5400,altitude,1
2024-01-02,Coelhos,1.225,6.5,-8.063964,-34.87183,3,0.72,14300,ribeirinho,0
2024-01-02,Cordeiro,1.225,13.2,-8.050687,-34.937684,25,0.48,8700,urbano_medio,0
2024-01-02,Ibura,1.225,5.03,-8.119145,-34.944955,12,0.75,17500,urbano_denso,1
2024-01-02,Ilha Joana Bezerra,1.225,0.0,-8.064207,-34.897738,2,0.85,19200,ribeirinho,0
2024-01-02,Madalena,1.225,0.05,-8.054105,-34.914476,10,0.52,9800,urbano_medio,0
2024-01-02,Pina,1.225,10.0,-8.086451,-34.882927,3,0.68,12200,litoraneo,2
2024-01-02,Santo Amaro,1.225,0.0,-8.046765,-34.884777,8,0.65,13800,urbano_denso,6
2024-01-02,São José,1.225,0.0,-8.056959,-34.881628,6,0.62,12900,urbano_denso,0
2024-01-02,Torre,1.225,1.8,-8.045597,-34.902353,15,0.42,7600,urbano_medio,2
2024-01-02,Várzea,1.225,0.0,-8.041359,-34.95266,55,0.35,6200,altitude,0
2024-01-03,Afogados,1.25,1.8,-8.053421,-34.919348,4,0.78,16700,ribeirinho,0
2024-01-03,Apipucos,1.25,0.0,-8.030437,-34.943289,50,0.28,4800,altitude,0
2024-01-03,Boa Viagem,1.25,0.0,-8.121965,-34.897323,5,0.45,9800,litoraneo,1
2024-01-03,Brasília Teimosa,1.25,14.3,-8.088776,-34.879551,2,0.82,18500,litoraneo,6
2024-01-03,Casa Forte,1.25,0.0,-8.01848,-34.925335,45,0.25,5400,altitude,1
2024-01-03,Coelhos,1.25,0.2,-8.063413,-34.870901,3,0.72,14300,ribeirinho,0
2024-01-03,Cordeiro,1.25,0.0,-8.050485,-34.937302,25,0.48,8700,urbano_medio,0
2024-01-03,Ibura,1.25,0.0,-8.119169,-34.944556,12,0.75,17500,urbano_denso,0
2024-01-03,Ilha Joana Bezerra,1.25,0.0,-8.064265,-34.896362,2,0.85,19200,ribeirinho,0
2024-01-03,Madalena,1.25,0.0,-8.0548,-34.914428,10,0.52,9800,urbano_medio,0
2024-01-03,Pina,1.25,0.0,-8.085085,-34.882601,3,0.68,12200,litoraneo,4
2024-01-03,Santo Amaro,1.25,0.0,-8.047008,-34.883853,8,0.65,13800,urbano_denso,0
2024-01-03,São José,1.25,0.0,-8.057128,-34.882017,6,0.62,12900,urbano_denso,0
2024-01-03,Torre,1.25,0.0,-8.045879,-34.902313,15,0.42,7600,urbano_medio,1
2024-01-03,Várzea,1.25,0.0,-8.04125,-34.95334,55,0.35,6200,altitude,1
2024-01-04,Afogados,1.275,0.93,-8.052856,-34.919104,4,0.78,16700,ribeirinho,0
2024-01-04,Apipucos,1.275,0.0,-8.030307,-34.942059,50,0.28,4800,altitude,1
2024-01-04,Boa Viagem,1.275,0.08,-8.122603,-34.897656,5,0.45,9800,litoraneo,1
2024-01-04,Brasília Teimosa,1.275,0.0,-8.088338,-34.879987,2,0.82,18500,litoraneo,2
2024-01-04,Casa Forte,1.275,0.0,-8.019579,-34.924366,45,0.25,5400,altitude,1
2024-01-04,Coelhos,1.275,0.0,-8.063444,-34.871299,3,0.72,14300,ribeirinho,3
2024-01-04,Cordeiro,1.275,0.0,-8.05095,-34.937512,25,0.48,8700,urbano_medio,0
2024-01-04,Ibura,1.275,0.27,-8.118667,-34.944228,12,0.75,17500,urbano_denso,1
2024-01-04,Ilha Joana Bezerra,1.275,0.0,-8.064928,-34.897673,2,0.85,19200,ribeirinho,4
2024-01-04,Madalena,1.275,0.0,-8.054902,-34.915247,10,0.52,9800,urbano_medio,0
2024-01-04,Pina,1.275,0.2,-8.085364,-34.884548,3,0.68,12200,litoraneo,2
2024-01-04,Santo Amaro,1.275,0.0,-8.047489,-34.882997,8,0.65,13800,urbano_denso,1
2024-01-04,São José,1.275,0.0,-8.056778,-34.881998,6,0.62,12900,urbano_denso,1
2024-01-04,Torre,1.275,0.9,-8.045103,-34.902631,15,0.42,7600,urbano_medio,1
2024-01-04,Várzea,1.275,0.0,-8.041416,-34.953764,55,0.35,6200,altitude,0
2024-01-05,Afogados,1.275,0.0,-8.052198,-34.919398,4,0.78,16700,ribeirinho,3
2024-01-05,Apipucos,1.275,0.0,-8.030225,-34.942885,50,0.28,4800,altitude,0
2024-01-05,Boa Viagem,1.275,0.0,-8.123398,-34.898106,5,0.45,9800,litoraneo,0
2024-01-05,Brasília Teimosa,1.275,0.0,-8.089217,-34.879588,2,0.82,18500,litoraneo,1
2024-01-05,Casa Forte,1.275,0.0,-8.01935,-34.924364,45,0.25,5400,altitude,0
2024-01-05,Coelhos,1.275,0.0,-8.063004,-34.871269,3,0.72,14300,ribeirinho,1
2024-01-05,Cordeiro,1.275,0.0,-8.05046,-34.937948,25,0.48,8700,urbano_medio,0
2024-01-05,Ibura,1.275,0.0,-8.11886,-34.944999,12,0.75,17500,urbano_denso,0
2024-01-05,Ilha Joana Bezerra,1.275,0.0,-8.065145,-34.897777,2,0.85,19200,ribeirinho,2
2024-01-05,Madalena,1.275,0.0,-8.054185,-34.91477,10,0.52,9800,urbano_medio,0
2024-01-05,Pina,1.275,0.0,-8.085472,-34.882056,3,0.68,12200,litoraneo,0
2024-01-05,Santo Amaro,1.275,0.0,-8.046165,-34.882567,8,0.65,13800,urbano_denso,1
2024-01-05,São José,1.275,0.0,-8.056663,-34.881695,6,0.62,12900,urbano_denso,0
2024-01-05,Torre,1.275,0.0,-8.045336,-34.901859,15,0.42,7600,urbano_medio,1
2024-01-05,Várzea,1.275,0.0,-8.040478,-34.954313,55,0.35,6200,altitude,0
2024-01-06,Afogados,1.275,0.0,-8.053195,-34.918574,4,0.78,16700,ribeirinho,4
2024-01-06,Apipucos,1.275,0.0,-8.030251,-34.943738,50,0.28,4800,altitude,0
2024-01-06,Boa Viagem,1.275,0.0,-8.122578,-34.897619,5,0.45,9800,litoraneo,2
2024-01-06,Brasília Teimosa,1.275,0.0,-8.089217,-34.879351,2,0.82,18500,litoraneo,2
2024-01-06,Casa Forte,1.275,0.0,-8.019382,-34.924508,45,0.25,5400,altitude,0
2024-01-06,Coelhos,1.275,0.0,-8.064229,-34.872408,3,0.72,14300,ribeirinho,1
2024-01-06,Cordeiro,1.275,0.0,-8.051155,-34.938031,25,0.48,8700,urbano_medio,0
2024-01-06,Ibura,1.275,0.0,-8.119044,-34.945134,12,0.75,17500,urbano_denso,0
2024-01-06,Ilha Joana Bezerra,1.275,0.0,-8.064222,-34.896631,2,0.85,19200,ribeirinho,4
2024-01-06,Madalena,1.275,0.0,-8.053709,-34.914868,10,0.52,9800,urbano_medio,1
2024-01-06,Pina,1.275,0.0,-8.085109,-34.88317,3,0.68,12200,litoraneo,1
2024-01-06,Santo Amaro,1.275,0.0,-8.047211,-34.883851,8,0.65,13800,urbano_denso,1
2024-01-06,São José,1.275,0.0,-8.056546,-34.882198,6,0.62,12900,urbano_denso,1
2024-01-06,Torre,1.275,0.0,-8.045984,-34.903445,15,0.42,7600,urbano_medio,2
2024-01-06,Várzea,1.275,0.0,-8.040486,-34.953403,55,0.35,6200,altitude,0
2024-01-07,Afogados,1.1,0.0,-8.05274,-34.918471,4,0.78,16700,ribeirinho,0
2024-01-07,Apipucos,1.1,0.0,-8.030082,-34.943164,50,0.28,4800,altitude,2
2024-01-07,Boa Viagem,1.1,0.0,-8.122202,-34.898372,5,0.45,9800,litoraneo,0
2024-01-07,Brasília Teimosa,1.1,0.0,-8.08831,-34.878874,2,0.82,18500,litoraneo,0
