date,bairro,lat,lon,altitude,vulnerabilidade,densidade_pop,chuva_mm,mare_m,ocorrencias,tipo_bairro
2024-12-07 00:00:00+00:00,Brasília Teimosa,-8.08896,-34.879095,2,0.82,18500,9.57,0.867,0,litoraneo
2024-12-08 00:00:00+00:00,Brasília Teimosa,-8.088692,-34.880362,2,0.82,18500,4.09,0.794,1,litoraneo
2024-12-09 00:00:00+00:00,Brasília Teimosa,-8.08782,-34.879403,2,0.82,18500,4.69,0.743,1,litoraneo
2024-12-10 00:00:00+00:00,Brasília Teimosa,-8.088954,-34.879918,2,0.82,18500,7.32,0.74,3,litoraneo
2024-12-11 00:00:00+00:00,Brasília Teimosa,-8.089733,-34.879054,2,0.82,18500,10.16,0.76,0,litoraneo
2024-12-12 00:00:00+00:00,Brasília Teimosa,-8.089605,-34.880392,2,0.82,18500,33.77,0.873,5,litoraneo
2024-12-13 00:00:00+00:00,Brasília Teimosa,-8.088809,-34.879156,2,0.82,18500,11.51,0.753,1,litoraneo
2024-12-14 00:00:00+00:00,Brasília Teimosa,-8.088934,-34.879112,2,0.82,18500,12.43,0.888,0,litoraneo
2024-12-15 00:00:00+00:00,Brasília Teimosa,-8.088919,-34.879923,2,0.82,18500,4.49,0.856,3,litoraneo
2024-12-16 00:00:00+00:00,Brasília Teimosa,-8.089056,-34.87975,2,0.82,18500,8.71,1.047,1,litoraneo
2024-12-17 00:00:00+00:00,Brasília Teimosa,-8.089504,-34.879851,2,0.82,18500,7.15,0.827,1,litoraneo
2024-12-18 00:00:00+00:00,Brasília Teimosa,-8.089228,-34.879784,2,0.82,18500,12.6,1.079,4,litoraneo
2024-12-19 00:00:00+00:00,Brasília Teimosa,-8.089271,-34.880001,2,0.82,18500,47.27,1.1,1,litoraneo
2024-12-20 00:00:00+00:00,Brasília Teimosa,-8.090059,-34.879613,2,0.82,18500,5.87,1.226,3,litoraneo
2024-12-21 00:00:00+00:00,Brasília Teimosa,-8.08893,-34.879604,2,0.82,18500,6.98,1.458,2,litoraneo
2024-12-22 00:00:00+00:00,Brasília Teimosa,-8.088807,-34.878505,2,0.82,18500,11.47,1.23,2,litoraneo
2024-12-23 00:00:00+00:00,Brasília Teimosa,-8.089875,-34.879566,2,0.82,18500,2.75,1.331,1,litoraneo
2024-12-24 00:00:00+00:00,Brasília Teimosa,-8.089492,-34.879761,2,0.82,18500,2.55,1.457,1,litoraneo
2024-12-25 00:00:00+00:00,Brasília Teimosa,-8.08897,-34.879209,2,0.82,18500,11.81,1.353,1,litoraneo
2024-12-26 00:00:00+00:00,Brasília Teimosa,-8.088953,-34.879957,2,0.82,18500,2.1,1.364,3,litoraneo
2024-12-27 00:00:00+00:00,Brasília Teimosa,-8.088715,-34.878966,2,0.82,18500,21.69,1.513,2,litoraneo
2024-12-28 00:00:00+00:00,Brasília Teimosa,-8.088661,-34.87972,2,0.82,18500,9.11,1.542,1,litoraneo
2024-12-29 00:00:00+00:00,Brasília Teimosa,-8.089582,-34.879111,2,0.82,18500,15.07,1.489,1,litoraneo
2024-12-30 00:00:00+00:00,Brasília Teimosa,-8.089162,-34.87923,2,0.82,18500,6.89,1.402,3,litoraneo
2024-12-31 00:00:00+00:00,Brasília Teimosa,-8.088745,-34.879554,2,0.82,18500,4.59,1.433,1,litoraneo
2025-01-01 00:00:00+00:00,Brasília Teimosa,-8.088571,-34.879574,2,0.82,18500,10.48,1.411,1,litoraneo
2025-01-02 00:00:00+00:00,Brasília Teimosa,-8.088381,-34.879596,2,0.82,18500,12.26,1.423,5,litoraneo
2025-01-03 00:00:00+00:00,Brasília Teimosa,-8.089343,-34.879559,2,0.82,18500,16.17,1.479,2,litoraneo
2025-01-04 00:00:00+00:00,Brasília Teimosa,-8.089547,-34.879767,2,0.82,18500,27.19,1.304,0,litoraneo
2025-01-05 00:00:00+00:00,Brasília Teimosa,-8.089077,-34.879926,2,0.82,18500,18.41,1.507,0,litoraneo
2025-01-06 00:00:00+00:00,Brasília Teimosa,-8.089496,-34.879657,2,0.82,18500,25.0,1.579,3,litoraneo
2025-01-07 00:00:00+00:00,Brasília Teimosa,-8.088217,-34.879398,2,0.82,18500,9.63,1.616,1,litoraneo
2025-01-08 00:00:00+00:00,Brasília Teimosa,-8.088467,-34.879954,2,0.82,18500,2.05,1.626,3,litoraneo
2025-01-09 00:00:00+00:00,Brasília Teimosa,-8.090097,-34.88025,2,0.82,18500,9.23,1.606,2,litoraneo
2025-01-10 00:00:00+00:00,Brasília Teimosa,-8.089,-34.8799,2,0.82,18500,18.23,1.629,4,litoraneo
2025-01-11 00:00:00+00:00,Brasília Teimosa,-8.088757,-34.879565,2,0.82,18500,7.03,1.459,2,litoraneo
